,department,education,gender,no_of_trainings,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
23,Technology,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.92
24,Procurement,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,0.32
25,Technology,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.76
26,Analytics,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.8
27,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.64
28,Procurement,Bachelor's,m,0.0,2.0,1.0,1.0,0.0,0.48
29,Finance,Bachelor's,m,1.0,-2.0,-0.6,0.0,0.0,0.04
30,Operations,Bachelor's,m,1.0,1.0,0.2,0.0,0.0,-0.08
31,Analytics,Bachelor's,m,1.0,2.0,-0.4,1.0,0.0,1.08
32,Sales & Marketing,Bachelor's,m,0.0,-1.0,-0.2,1.0,0.0,-0.52
33,Technology,Bachelor's,m,0.0,1.0,-0.2,1.0,0.0,0.6
34,Sales & Marketing,Bachelor's,f,0.0,2.0,-0.4,0.0,0.0,-0.52
35,Sales & Marketing,Master's & above,m,0.0,2.0,0.0,1.0,0.0,-0.36
36,Sales & Marketing,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,-0.36
37,Technology,Bachelor's,m,0.0,0.0,1.0,0.0,0.0,0.8
38,Operations,Bachelor's,f,1.0,1.0,-0.6,1.0,0.0,-0.12
39,HR,Bachelor's,m,0.0,1.0,4.2,1.0,0.0,-0.32
40,Analytics,Bachelor's,m,0.0,2.0,1.4,0.0,0.0,1.12
41,Procurement,Bachelor's,f,0.0,2.0,1.2,0.0,0.0,0.44
42,Procurement,Master's & above,f,0.0,1.0,-0.2,0.0,0.0,0.44
43,Technology,Bachelor's,m,0.0,0.0,1.2,0.0,0.0,0.8
44,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.4,1.0,0.0,-0.44
45,Procurement,Master's & above,f,0.0,0.0,1.4,0.0,0.0,0.52
46,Finance,Bachelor's,m,0.0,1.0,-0.6,1.0,0.0,0.0
47,Sales & Marketing,Bachelor's,f,0.0,0.0,0.6,0.0,0.0,-0.48
48,Procurement,Bachelor's,m,0.0,0.0,1.4,1.0,0.0,0.2
49,HR,Bachelor's,m,0.0,-2.0,0.2,0.0,0.0,-0.4
50,Operations,Bachelor's,m,0.0,0.0,0.0,1.0,0.0,0.08
51,Analytics,Bachelor's,m,1.0,-1.0,-0.6,0.0,0.0,1.0
52,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,-0.44
53,R&D,Master's & above,m,0.0,0.0,0.0,1.0,0.0,0.96
54,Sales & Marketing,Bachelor's,m,1.0,0.0,-0.8,1.0,0.0,-0.52
55,Sales & Marketing,Bachelor's,m,0.0,1.0,0.4,0.0,0.0,-0.32
56,Sales & Marketing,Master's & above,m,0.0,1.0,2.4,1.0,0.0,-0.52
57,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,-0.28
58,Analytics,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,0.8
59,Sales & Marketing,Master's & above,m,0.0,1.0,-0.6,1.0,0.0,-0.32
60,R&D,Bachelor's,m,0.0,2.0,0.0,0.0,0.0,1.08
61,Operations,Master's & above,f,0.0,0.0,-0.4,1.0,0.0,-0.08
62,Finance,Bachelor's,m,0.0,0.0,-0.8,1.0,1.0,-0.08
63,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.04
64,Procurement,Bachelor's,m,0.0,1.0,0.2,1.0,0.0,0.6
65,Analytics,Bachelor's,m,0.0,0.0,0.4,1.0,0.0,0.96
66,Operations,Bachelor's,f,0.0,2.0,0.0,1.0,0.0,-0.04
67,Technology,Master's & above,m,0.0,2.0,0.4,1.0,0.0,0.72
68,Sales & Marketing,Master's & above,f,0.0,-2.0,1.4,0.0,0.0,-0.32
69,Sales & Marketing,Bachelor's,m,0.0,1.0,0.2,0.0,0.0,-0.64
70,Sales & Marketing,Bachelor's,m,0.0,0.0,1.8,0.0,0.0,-0.32
71,Sales & Marketing,Master's & above,m,0.0,1.0,-0.6,1.0,0.0,-0.44
72,Sales & Marketing,Bachelor's,m,1.0,-2.0,0.0,0.0,0.0,-0.36
73,Sales & Marketing,Bachelor's,m,0.0,1.0,-0.4,1.0,0.0,-0.28
74,Analytics,Bachelor's,m,0.0,0.0,-0.6,1.0,0.0,1.24
75,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,-0.08
76,Technology,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,0.76
77,Operations,Master's & above,m,0.0,-1.0,0.4,0.0,0.0,-0.28
78,R&D,Bachelor's,m,0.0,1.0,0.6,0.0,0.0,0.88
79,Legal,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.2
80,Operations,Master's & above,f,0.0,2.0,1.2,1.0,0.0,0.0
81,HR,Bachelor's,f,0.0,-1.0,0.2,0.0,0.0,-0.32
82,Procurement,Master's & above,m,0.0,2.0,-0.4,1.0,0.0,0.36
83,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,-0.36
84,Analytics,Bachelor's,m,0.0,0.0,0.6,0.0,0.0,1.0
85,Procurement,Master's & above,m,1.0,1.0,-0.4,1.0,0.0,0.56
86,HR,Master's & above,m,0.0,0.0,0.4,0.0,0.0,-0.64
87,Operations,Bachelor's,f,0.0,1.0,1.6,0.0,0.0,-0.28
88,Analytics,Bachelor's,m,0.0,1.0,-0.2,1.0,0.0,1.04
89,Technology,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,0.68
90,Operations,Bachelor's,f,0.0,0.0,0.0,0.0,0.0,-0.12
91,Sales & Marketing,Bachelor's,m,0.0,0.0,1.4,1.0,0.0,-0.32
92,Finance,Master's & above,m,0.0,2.0,2.4,0.0,0.0,-0.04
93,Operations,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,0.12
94,Operations,Bachelor's,f,0.0,0.0,1.2,0.0,0.0,-0.12
95,Analytics,Bachelor's,m,1.0,0.0,-0.2,1.0,0.0,0.92
96,Sales & Marketing,Bachelor's,m,0.0,2.0,0.6,1.0,0.0,-0.24
97,Sales & Marketing,Master's & above,m,0.0,2.0,-0.2,0.0,0.0,-0.4
98,Operations,Bachelor's,m,0.0,1.0,0.2,1.0,0.0,-0.12
99,Operations,Master's & above,f,0.0,1.0,0.2,1.0,0.0,0.08
100,Procurement,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,0.52
101,Sales & Marketing,Bachelor's,m,1.0,0.0,-0.2,0.0,0.0,-0.4
102,Analytics,Master's & above,m,0.0,-1.0,2.8,0.0,0.0,0.76
103,Sales & Marketing,Bachelor's,m,2.0,1.0,-0.6,0.0,0.0,-0.44
104,HR,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,-0.24
105,Operations,Bachelor's,m,0.0,1.0,0.2,1.0,0.0,0.12
106,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.6,1.0,0.0,1.2
107,Sales & Marketing,Bachelor's,m,0.0,2.0,0.0,0.0,0.0,-0.44
108,Sales & Marketing,Bachelor's,f,0.0,1.0,-0.6,0.0,0.0,-0.56
109,Technology,Bachelor's,m,0.0,2.0,-0.6,0.0,0.0,1.04
110,Procurement,Bachelor's,m,3.0,0.0,-0.6,0.0,0.0,0.48
111,Procurement,Bachelor's,f,0.0,1.0,-0.2,1.0,0.0,0.48
112,Technology,Bachelor's,m,3.0,1.0,0.4,0.0,0.0,0.88
113,Technology,Bachelor's,m,0.0,1.0,0.2,0.0,0.0,0.68
114,Sales & Marketing,Master's & above,m,0.0,2.0,0.4,1.0,0.0,-0.36
115,Procurement,Master's & above,m,0.0,2.0,-0.4,0.0,1.0,1.28
116,Operations,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,-0.08
117,Procurement,Master's & above,m,1.0,0.0,0.0,1.0,0.0,0.44
118,Analytics,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,0.92
119,Procurement,Master's & above,f,0.0,2.0,0.0,0.0,0.0,0.32
120,Sales & Marketing,Bachelor's,f,0.0,0.0,-0.8,0.0,0.0,-0.4
121,Operations,Master's & above,m,0.0,2.0,0.8,1.0,0.0,0.04
122,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.52
123,Sales & Marketing,Bachelor's,f,0.0,2.0,-0.4,0.0,0.0,-0.56
124,Procurement,Bachelor's,m,1.0,2.0,-0.2,1.0,0.0,0.28
125,Operations,Bachelor's,m,0.0,1.0,0.4,0.0,0.0,-0.08
126,Analytics,Bachelor's,m,0.0,0.0,0.6,0.0,0.0,1.16
127,Sales & Marketing,Master's & above,m,0.0,2.0,0.6,0.0,0.0,-0.4
128,Operations,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.16
129,Technology,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,0.72
130,Finance,Master's & above,m,1.0,0.0,0.4,0.0,0.0,-0.16
131,Technology,Bachelor's,f,0.0,1.0,-0.2,1.0,1.0,0.72
132,Technology,Bachelor's,f,0.0,1.0,-0.6,0.0,0.0,0.68
133,Technology,Bachelor's,f,1.0,0.0,0.4,1.0,1.0,0.64
134,Finance,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.16
135,Analytics,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.96
136,Finance,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.12
137,Technology,Bachelor's,m,1.0,0.0,0.0,0.0,0.0,0.84
138,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.36
139,Sales & Marketing,Master's & above,m,0.0,0.0,1.2,1.0,0.0,-0.36
140,Technology,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,0.8
141,Procurement,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,0.48
142,Sales & Marketing,Master's & above,m,0.0,1.0,0.2,0.0,0.0,-0.4
143,HR,Master's & above,f,0.0,0.0,0.8,0.0,0.0,-0.48
144,Technology,Bachelor's,f,1.0,2.0,0.6,0.0,0.0,1.12
145,Procurement,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.4
146,Operations,Master's & above,m,0.0,1.0,-0.2,1.0,0.0,-0.12
147,Operations,Master's & above,m,0.0,0.0,0.4,1.0,0.0,-0.16
148,Operations,Bachelor's,m,0.0,-2.0,0.0,0.0,0.0,-0.16
149,Legal,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,0.12
150,Finance,Bachelor's,m,1.0,0.0,-0.6,0.0,0.0,-0.16
151,Analytics,Master's & above,m,0.0,2.0,-0.6,0.0,0.0,0.96
152,Sales & Marketing,Bachelor's,f,0.0,1.0,-0.2,1.0,0.0,-0.6
153,HR,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.4
154,Technology,Bachelor's,m,0.0,0.0,0.0,0.0,0.0,0.6
155,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,-0.48
156,Procurement,Master's & above,m,0.0,2.0,0.4,1.0,0.0,0.4
157,Procurement,Bachelor's,f,0.0,0.0,-0.4,1.0,0.0,0.52
158,Procurement,Master's & above,f,0.0,2.0,-0.2,1.0,0.0,0.28
159,Sales & Marketing,Bachelor's,f,0.0,-2.0,0.6,0.0,0.0,-0.6
160,Technology,Master's & above,m,0.0,1.0,0.4,0.0,0.0,0.88
161,Technology,Bachelor's,m,1.0,1.0,0.2,0.0,0.0,0.96
162,Sales & Marketing,Master's & above,m,0.0,1.0,0.2,0.0,0.0,-0.28
163,Finance,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,0.04
164,Sales & Marketing,Bachelor's,m,1.0,-2.0,-0.6,0.0,0.0,-0.4
165,Technology,Bachelor's,f,0.0,-1.0,0.0,0.0,0.0,0.6
166,Procurement,Master's & above,f,1.0,0.0,0.8,0.0,0.0,0.4
167,Technology,Bachelor's,f,1.0,0.0,-0.4,0.0,0.0,1.04
168,Sales & Marketing,Bachelor's,f,1.0,-1.0,-0.2,0.0,0.0,-0.24
169,Procurement,Bachelor's,f,2.0,0.0,-0.4,1.0,0.0,0.4
170,Operations,Bachelor's,m,0.0,-1.0,1.4,0.0,0.0,-0.12
171,Finance,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.04
172,Analytics,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,0.96
173,Sales & Marketing,Bachelor's,m,0.0,0.0,2.0,0.0,0.0,-0.36
174,Sales & Marketing,Bachelor's,m,2.0,1.0,-0.2,0.0,0.0,-0.44
175,Procurement,Bachelor's,m,0.0,1.0,-0.2,1.0,0.0,0.4
176,Procurement,Bachelor's,f,0.0,2.0,0.0,1.0,0.0,0.48
177,Operations,Bachelor's,m,0.0,1.0,1.2,0.0,0.0,-0.08
178,Operations,Bachelor's,f,1.0,2.0,1.4,1.0,0.0,-0.2
179,Operations,Bachelor's,f,1.0,0.0,0.2,0.0,0.0,-0.12
180,Technology,Master's & above,m,0.0,1.0,-0.2,1.0,0.0,0.68
181,Sales & Marketing,Bachelor's,m,0.0,1.0,0.4,1.0,0.0,-0.48
182,Sales & Marketing,Master's & above,m,0.0,2.0,0.4,0.0,0.0,-0.36
183,Technology,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,0.8
184,Analytics,Bachelor's,f,0.0,0.0,-0.2,0.0,0.0,1.04
185,Procurement,Master's & above,f,0.0,2.0,0.8,0.0,0.0,0.32
186,Operations,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,0.2
187,Technology,Bachelor's,m,0.0,1.0,-0.6,0.0,0.0,0.6
188,Analytics,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,0.84
189,Sales & Marketing,Bachelor's,m,1.0,0.0,0.8,0.0,0.0,-0.44
190,Sales & Marketing,Bachelor's,m,1.0,-2.0,0.6,0.0,0.0,-0.84
191,Procurement,Bachelor's,f,1.0,0.0,-0.6,0.0,0.0,0.4
192,Sales & Marketing,Master's & above,f,0.0,1.0,0.0,1.0,1.0,1.36
193,Operations,Master's & above,m,0.0,0.0,-0.6,1.0,0.0,0.0
194,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.6,1.0,0.0,-0.36
195,Operations,Bachelor's,f,0.0,2.0,-0.2,0.0,0.0,-0.16
196,HR,Master's & above,m,0.0,2.0,0.2,0.0,0.0,-0.48
197,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,-0.44
198,Technology,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,0.72
199,Legal,Master's & above,m,0.0,2.0,0.2,0.0,1.0,-0.08
200,Procurement,Master's & above,m,0.0,0.0,1.4,0.0,0.0,0.4
201,Procurement,Below Secondary,f,0.0,-2.0,-0.6,0.0,0.0,0.36
202,Sales & Marketing,Master's & above,f,0.0,-2.0,-0.6,0.0,0.0,-0.28
203,Analytics,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,0.8
204,Operations,Bachelor's,m,0.0,2.0,-0.2,1.0,0.0,-0.08
205,Analytics,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,1.0
206,Analytics,Bachelor's,m,1.0,2.0,0.2,1.0,0.0,0.84
207,Procurement,Bachelor's,m,0.0,-2.0,0.6,0.0,0.0,0.28
208,Analytics,Bachelor's,m,0.0,1.0,0.6,0.0,0.0,1.04
209,Analytics,Master's & above,m,0.0,0.0,-0.2,1.0,0.0,0.8
210,Analytics,Bachelor's,m,1.0,2.0,-0.4,1.0,0.0,1.0
211,Procurement,Bachelor's,m,3.0,0.0,-0.8,0.0,0.0,0.32
212,Operations,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,-0.08
213,Analytics,Bachelor's,m,1.0,0.0,0.0,1.0,0.0,1.04
214,Procurement,Bachelor's,m,0.0,2.0,-0.4,1.0,0.0,0.32
215,Operations,Bachelor's,f,0.0,1.0,1.4,0.0,0.0,-0.08
216,Operations,Bachelor's,f,0.0,2.0,0.8,1.0,0.0,0.0
217,Sales & Marketing,Bachelor's,m,1.0,0.0,0.8,0.0,0.0,-0.44
218,Operations,Master's & above,m,0.0,0.0,0.6,1.0,0.0,-0.04
219,HR,Bachelor's,f,0.0,1.0,-0.4,0.0,0.0,-0.4
220,Sales & Marketing,Bachelor's,m,0.0,0.0,0.0,1.0,0.0,-0.32
221,Operations,Master's & above,f,0.0,2.0,-0.6,1.0,1.0,1.32
222,HR,Bachelor's,m,0.0,0.0,-0.8,1.0,0.0,-0.32
223,Procurement,Bachelor's,f,0.0,0.0,0.8,0.0,0.0,0.36
224,Analytics,Bachelor's,m,1.0,0.0,0.8,1.0,0.0,1.04
225,Sales & Marketing,Bachelor's,m,0.0,0.0,0.6,0.0,0.0,-0.36
226,Technology,Bachelor's,m,0.0,0.0,0.6,0.0,0.0,0.72
227,Analytics,Bachelor's,m,0.0,0.0,-0.2,1.0,0.0,1.0
228,Operations,Bachelor's,f,0.0,2.0,-0.2,1.0,0.0,0.12
229,Operations,Bachelor's,m,1.0,0.0,0.4,1.0,1.0,0.0
230,Sales & Marketing,Bachelor's,m,0.0,-2.0,-0.6,0.0,0.0,-0.48
231,Sales & Marketing,Bachelor's,m,2.0,-1.0,-0.4,0.0,0.0,-0.32
232,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.24
233,Analytics,Bachelor's,m,0.0,0.0,-0.2,0.0,0.0,0.96
234,Operations,Bachelor's,m,1.0,-1.0,-0.2,1.0,0.0,-0.12
235,Technology,Bachelor's,m,0.0,1.0,-0.6,0.0,0.0,0.88
236,Technology,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.72
237,Technology,Bachelor's,f,0.0,2.0,0.4,1.0,0.0,0.88
238,Sales & Marketing,Bachelor's,m,0.0,1.0,0.8,0.0,0.0,-0.44
239,Sales & Marketing,Bachelor's,m,0.0,2.0,-0.2,0.0,1.0,-0.4
240,Procurement,Master's & above,f,0.0,2.0,0.6,1.0,0.0,0.28
241,Procurement,Master's & above,f,0.0,0.0,0.0,1.0,0.0,0.48
242,Technology,Bachelor's,f,0.0,2.0,-0.4,1.0,0.0,0.72
243,Operations,Bachelor's,m,0.0,1.0,-0.6,1.0,0.0,0.04
244,Finance,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,-0.16
245,Analytics,Bachelor's,m,1.0,1.0,-0.6,1.0,0.0,1.08
246,Legal,Bachelor's,m,0.0,2.0,-0.2,0.0,0.0,0.16
247,Sales & Marketing,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,-0.56
248,Technology,Master's & above,m,0.0,0.0,1.8,0.0,0.0,0.76
249,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.6,0.0,0.0,-0.84
250,Technology,Master's & above,f,1.0,0.0,1.0,0.0,0.0,1.12
251,Operations,Bachelor's,f,0.0,-2.0,0.0,0.0,0.0,-0.24
252,Operations,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.12
253,Finance,Bachelor's,m,1.0,-2.0,-0.2,0.0,0.0,0.04
254,Operations,Bachelor's,m,0.0,1.0,-0.4,0.0,0.0,0.04
255,Sales & Marketing,Master's & above,f,0.0,1.0,0.0,1.0,0.0,-0.48
256,Operations,Master's & above,m,2.0,0.0,1.2,0.0,0.0,-0.12
257,Procurement,Master's & above,f,1.0,1.0,3.6,0.0,0.0,0.24
258,Sales & Marketing,Master's & above,f,1.0,-1.0,0.6,0.0,0.0,-0.44
259,R&D,Bachelor's,m,1.0,2.0,-0.4,1.0,0.0,1.08
260,Operations,Bachelor's,f,0.0,2.0,-0.4,0.0,0.0,-0.04
261,Legal,Below Secondary,m,0.0,0.0,-0.8,0.0,0.0,0.08
262,Operations,Master's & above,m,0.0,0.0,-0.2,0.0,0.0,0.0
263,Technology,Bachelor's,m,0.0,0.0,2.0,0.0,0.0,1.08
264,Procurement,Master's & above,m,0.0,1.0,0.4,0.0,0.0,0.24
265,Sales & Marketing,Bachelor's,f,0.0,-1.0,-0.2,0.0,0.0,-0.52
266,Analytics,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,1.08
267,Analytics,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,0.72
268,Sales & Marketing,Bachelor's,f,0.0,0.0,1.4,0.0,0.0,-0.4
269,Technology,Bachelor's,m,1.0,1.0,0.2,0.0,0.0,0.6
270,Analytics,Bachelor's,m,1.0,2.0,0.4,1.0,0.0,1.08
271,Finance,Bachelor's,m,0.0,2.0,0.2,1.0,0.0,-0.08
272,Operations,Bachelor's,m,0.0,2.0,1.2,0.0,0.0,0.28
273,Procurement,Bachelor's,f,0.0,2.0,-0.4,1.0,0.0,0.2
274,Procurement,Bachelor's,f,0.0,0.0,-0.6,1.0,0.0,0.4
275,Sales & Marketing,Bachelor's,m,0.0,0.0,0.4,0.0,0.0,-0.16
276,Technology,Bachelor's,f,1.0,-2.0,-0.4,0.0,0.0,0.8
277,HR,Bachelor's,f,0.0,0.0,-0.6,0.0,0.0,-0.52
278,Sales & Marketing,Bachelor's,m,1.0,2.0,1.8,0.0,0.0,-0.48
279,Operations,Bachelor's,m,1.0,0.0,0.8,0.0,0.0,-0.08
280,Technology,Bachelor's,f,0.0,1.0,2.4,0.0,0.0,1.0
281,Technology,Bachelor's,m,0.0,-1.0,0.0,0.0,0.0,0.68
282,Finance,Bachelor's,m,0.0,-2.0,-0.4,0.0,0.0,-0.04
283,Operations,Bachelor's,m,0.0,1.0,0.0,0.0,0.0,0.04
284,Procurement,Bachelor's,f,0.0,1.0,-0.6,1.0,0.0,1.4
285,Technology,Bachelor's,m,0.0,-1.0,0.8,0.0,0.0,0.76
286,Sales & Marketing,Bachelor's,m,0.0,1.0,0.0,0.0,0.0,-0.4
287,Sales & Marketing,Bachelor's,f,0.0,-2.0,0.2,0.0,0.0,-0.52
288,Finance,Bachelor's,m,0.0,-1.0,-0.2,0.0,0.0,-0.04
289,Technology,Master's & above,m,0.0,2.0,1.0,1.0,0.0,0.64
290,Procurement,Bachelor's,m,0.0,-1.0,-0.6,0.0,0.0,0.36
291,Sales & Marketing,Bachelor's,m,0.0,-1.0,0.0,0.0,0.0,-0.52
292,Analytics,Bachelor's,m,1.0,2.0,-0.4,1.0,0.0,1.04
293,Operations,Bachelor's,f,0.0,2.0,1.0,0.0,0.0,0.12
294,Procurement,Bachelor's,m,0.0,1.0,-0.4,1.0,0.0,0.24
295,Procurement,Master's & above,f,0.0,-2.0,1.6,0.0,0.0,0.4
296,Finance,Bachelor's,m,0.0,1.0,-0.2,0.0,0.0,-0.12
297,Procurement,Bachelor's,f,0.0,0.0,-0.4,1.0,0.0,0.28
298,Operations,Bachelor's,f,0.0,2.0,0.2,0.0,0.0,0.08
299,Legal,Below Secondary,m,0.0,2.0,-0.6,1.0,0.0,-0.04
300,Procurement,Bachelor's,m,3.0,-1.0,0.8,0.0,0.0,0.32
301,Procurement,Bachelor's,f,0.0,0.0,-0.8,1.0,0.0,0.36
302,Analytics,Master's & above,m,0.0,-2.0,0.4,0.0,1.0,0.76
303,Sales & Marketing,Bachelor's,m,0.0,-2.0,0.4,0.0,0.0,-0.28
304,Technology,Bachelor's,m,0.0,0.0,-0.8,0.0,0.0,0.84
305,Analytics,Master's & above,m,0.0,2.0,0.0,0.0,1.0,0.92
306,Finance,Below Secondary,f,0.0,0.0,-0.6,0.0,0.0,0.04
307,Technology,Bachelor's,m,0.0,2.0,0.6,1.0,0.0,0.84
308,Sales & Marketing,Master's & above,m,0.0,0.0,0.4,1.0,0.0,-0.32
309,Operations,Master's & above,m,0.0,0.0,-0.4,0.0,0.0,0.6
310,Operations,Bachelor's,m,0.0,0.0,-0.6,0.0,0.0,-0.12
311,Procurement,Bachelor's,f,1.0,2.0,-0.6,1.0,0.0,0.32
312,Technology,Bachelor's,f,0.0,1.0,0.4,1.0,0.0,0.8
313,Finance,Bachelor's,m,3.0,2.0,-0.4,1.0,0.0,0.0
314,Analytics,Bachelor's,m,0.0,0.0,0.2,1.0,0.0,1.04
315,Sales & Marketing,Bachelor's,m,0.0,2.0,0.6,0.0,0.0,-0.48
316,Technology,Bachelor's,f,0.0,0.0,2.8,0.0,0.0,0.84
317,Sales & Marketing,Bachelor's,f,0.0,1.0,0.8,0.0,0.0,-0.36
318,Sales & Marketing,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,-0.48
319,Analytics,Bachelor's,m,1.0,1.0,-0.4,1.0,0.0,1.04
320,Analytics,Bachelor's,m,0.0,0.0,-0.4,0.0,0.0,1.04
321,Operations,Below Secondary,m,1.0,0.0,-0.8,0.0,0.0,0.04
322,Procurement,Bachelor's,f,0.0,2.0,0.0,0.0,1.0,0.96
323,Operations,Master's & above,m,0.0,0.0,0.4,0.0,0.0,-0.08
324,Technology,Master's & above,m,0.0,2.0,-0.2,1.0,0.0,0.88
325,Sales & Marketing,Bachelor's,m,0.0,1.0,0.0,0.0,0.0,-0.24
326,Analytics,Bachelor's,m,0.0,-2.0,-0.2,0.0,0.0,0.96
327,Finance,Below Secondary,m,0.0,2.0,-0.6,1.0,0.0,0.0
328,Sales & Marketing,Bachelor's,m,0.0,2.0,1.2,0.0,0.0,-0.72
329,Operations,Bachelor's,f,0.0,0.0,1.0,0.0,0.0,0.0
330,R&D,Master's & above,m,0.0,1.0,-0.6,1.0,0.0,1.44
331,Operations,Below Secondary,m,0.0,0.0,-0.6,0.0,0.0,-0.04
332,Sales & Marketing,Bachelor's,m,0.0,-2.0,1.0,0.0,0.0,-0.44
333,Technology,Master's & above,m,0.0,0.0,0.0,0.0,0.0,0.8
334,Sales & Marketing,Bachelor's,m,0.0,2.0,0.4,0.0,0.0,-0.28
